Smoothed Sunspot Numbers
Royal Observtory of Belsium
SILSO version 2
----------------------------
    year     ssn
  1984.624   52.2
  1984.708   44.3
  1984.791   37.2
  1984.874   31.6
  1984.958   27.4
  1985.042   25.2
  1985.123   23.5
  1985.204   21.7
  1985.288   21.3
  1985.371   21.4
  1985.455   20.8
  1985.538   19.9
  1985.623   19.6
  1985.707   19.8
  1985.790   19.7
  1985.874   19.1
  1985.958   17.3
  1986.042   15.2
  1986.123   14.3
  1986.204   14.3
  1986.288   15.1
  1986.371   15.8
  1986.455   15.2
  1986.538   15.1
  1986.623   14.4
  1986.707   13.5
  1986.790   14.7
  1986.874   16.6
  1986.958   18.3
  1987.042   19.9
  1987.123   22.3
  1987.204   25.5
  1987.288   28.0
  1987.371   30.3
  1987.455   32.7
  1987.538   36.2
  1987.623   40.5
  1987.707   45.3
  1987.790   51.0
  1987.874   55.1
  1987.958   60.9
  1988.042   69.2
  1988.124   76.9
  1988.206   84.9
  1988.290   93.0
  1988.373  101.4
  1988.456  114.3
  1988.540  128.5
  1988.624  141.1
  1988.708  151.2
  1988.791  156.9
  1988.874  164.4
  1988.958  176.1
  1989.042  184.8
  1989.123  190.7
  1989.204  198.0
  1989.288  203.8
  1989.371  209.5
  1989.455  212.1
  1989.538  212.0
  1989.623  211.1
  1989.707  210.5
  1989.790  212.4
  1989.874  212.5
  1989.958  206.2
  1990.042  201.2
  1990.123  202.4
  1990.204  200.9
  1990.288  198.1
  1990.371  195.1
  1990.455  192.0
  1990.538  190.1
  1990.623  191.6
  1990.707  194.6
  1990.790  195.2
  1990.874  195.2
  1990.958  197.8
  1991.042  202.8
  1991.123  204.4
  1991.204  203.9
  1991.288  203.8
  1991.371  202.9
  1991.455  202.8
  1991.538  203.5
  1991.623  203.3
  1991.707  200.9
  1991.790  196.7
  1991.874  191.4
  1991.958  183.1
  1992.042  172.6
  1992.124  161.1
  1992.206  151.8
  1992.290  146.0
  1992.373  142.1
  1992.456  137.1
  1992.540  128.5
  1992.624  119.3
  1992.708  113.0
  1992.791  109.0
  1992.874  106.3
  1992.958  104.5
  1993.042  101.9
  1993.123   99.3
  1993.204   95.4
  1993.288   90.2
  1993.371   84.2
  1993.455   78.6
  1993.538   76.5
  1993.623   73.6
  1993.707   68.3
  1993.790   63.2
  1993.874   58.4
  1993.958   55.1
  1994.042   52.6
  1994.123   50.2
  1994.204   49.4
  1994.288   49.6
  1994.371   48.7
  1994.455   46.4
  1994.538   42.7
  1994.623   40.1
  1994.707   39.7
  1994.790   39.4
  1994.874   38.7
  1994.958   37.6
  1995.042   35.6
  1995.123   33.7
  1995.204   32.0
  1995.288   29.4
  1995.371   27.3
  1995.455   25.9
  1995.538   24.4
  1995.623   22.0
  1995.707   19.0
  1995.790   17.0
  1995.874   15.9
  1995.958   15.1
  1996.042   14.5
  1996.124   14.2
  1996.206   13.7
  1996.290   12.0
  1996.373   11.2
  1996.456   11.6
  1996.540   11.3
  1996.624   11.2
  1996.708   11.3
  1996.791   12.0
  1996.874   13.4
  1996.958   14.3
  1997.042   14.5
  1997.123   15.2
  1997.204   18.3
  1997.288   22.0
  1997.371   24.4
  1997.455   27.2
  1997.538   30.4
  1997.623   33.6
  1997.707   38.2
  1997.790   43.1
  1997.874   47.1
  1997.958   52.0
  1998.042   58.4
  1998.123   65.4
  1998.204   72.0
  1998.288   76.9
  1998.371   80.8
  1998.455   85.4
  1998.538   89.8
  1998.623   93.5
  1998.707   96.4
  1998.790   98.2
  1998.874  102.4
  1998.958  110.4
  1999.042  118.4
  1999.123  122.5
  1999.204  122.3
  1999.288  125.0
  1999.371  132.6
  1999.455  136.3
  1999.538  138.1
  1999.623  142.9
  1999.707  150.5
  1999.790  159.3
  1999.874  164.1
  1999.958  164.0
  2000.042  166.1
  2000.124  170.6
  2000.206  174.3
  2000.290  175.2
  2000.373  172.9
  2000.456  172.7
  2000.540  174.2
  2000.624  172.8
  2000.708  168.8
  2000.791  165.3
  2000.874  163.1
  2000.958  162.7
  2001.042  158.3
  2001.123  152.5
  2001.204  155.1
  2001.288  160.7
  2001.371  163.7
  2001.455  167.4
  2001.538  172.0
  2001.623  175.8
  2001.707  177.1
  2001.790  177.3
  2001.874  180.3
  2001.958  179.1
  2002.042  177.6
  2002.123  179.7
  2002.204  178.2
  2002.288  174.4
  2002.371  171.3
  2002.455  166.9
  2002.538  161.5
  2002.623  155.4
  2002.707  149.5
  2002.790  143.9
  2002.874  136.0
  2002.958  131.4
  2003.042  129.6
  2003.123  125.7
  2003.204  118.7
  2003.288  111.9
  2003.371  107.0
  2003.455  101.7
  2003.538   96.0
  2003.623   92.9
  2003.707   91.8
  2003.790   89.1
  2003.874   86.9
  2003.958   84.1
  2004.042   80.1
  2004.124   76.4
  2004.206   73.2
  2004.290   71.0
  2004.373   69.5
  2004.456   67.1
  2004.540   64.8
  2004.624   63.0
  2004.708   60.2
  2004.791   57.9
  2004.874   56.6
  2004.958   55.7
  2005.042   54.5
  2005.123   53.2
  2005.204   52.3
  2005.288   49.3
  2005.371   45.0
  2005.455   44.5
  2005.538   44.6
  2005.623   41.9
  2005.707   39.4
  2005.790   38.9
  2005.874   38.4
  2005.958   36.0
  2006.042   33.0
  2006.123   29.7
  2006.204   27.4
  2006.288   27.0
  2006.371   27.4
  2006.455   26.2
  2006.538   25.0
  2006.623   25.9
  2006.707   26.0
  2006.790   23.7
  2006.874   21.1
  2006.958   20.2
  2007.042   19.8
  2007.123   19.0
  2007.204   17.7
  2007.288   16.4
  2007.371   14.4
  2007.455   12.8
  2007.538   11.6
  2007.623    9.9
  2007.707    9.6
  2007.790    9.9
  2007.874    9.2
  2007.958    7.9
  2008.042    6.6
  2008.124    5.6
  2008.206    5.1
  2008.290    5.1
  2008.373    5.4
  2008.456    4.8
  2008.540    4.0
  2008.624    3.8
  2008.708    3.2
  2008.791    2.4
  2008.874    2.3
  2008.958    2.2
  2009.042    2.5
  2009.123    2.7
  2009.204    2.9
  2009.288    3.3
  2009.371    3.5
  2009.455    4.1
  2009.538    5.5
  2009.623    7.4
  2009.707    9.5
  2009.790   10.9
  2009.874   11.7
  2009.958   12.7
  2010.042   14.0
  2010.123   16.1
  2010.204   18.5
  2010.288   20.8
  2010.371   23.1
  2010.455   24.6
  2010.538   25.2
  2010.623   26.4
  2010.707   29.5
  2010.790   34.5
  2010.874   39.1
  2010.958   42.5
  2011.042   45.7
  2011.123   48.8
  2011.204   53.8
  2011.288   61.1
  2011.371   69.3
  2011.455   77.2
  2011.538   83.6
  2011.623   86.3
  2011.707   86.6
  2011.790   87.4
  2011.874   89.4
  2011.958   92.5
  2012.042   95.5
  2012.124   98.2
  2012.206   98.3
  2012.290   95.1
  2012.373   90.9
  2012.456   86.6
  2012.540   84.5
  2012.624   85.1
  2012.708   85.3
  2012.791   85.8
  2012.874   87.7
  2012.958   88.1
  2013.042   86.8
  2013.123   86.1
  2013.204   84.4
  2013.288   84.3
  2013.371   87.0
  2013.455   90.9
  2013.538   94.6
  2013.623   99.0
  2013.707  104.7
  2013.790  107.0
  2013.874  106.9
  2013.958  107.6
  2014.042  109.3
  2014.123  110.5
  2014.204  114.3
  2014.288  116.4
  2014.371  115.0
  2014.455  114.1
  2014.538  112.6
  2014.623  108.3
  2014.707  101.9
  2014.790   97.3
  2014.874   94.7
  2014.958   92.2
  2015.042   89.3
  2015.123   86.1
  2015.204   82.1
  2015.288   78.9
  2015.371   76.1
  2015.455   72.1
  2015.538   68.3
  2015.623   66.4
  2015.707   65.9
  2015.790   64.3
  2015.874   61.2
  2015.958   57.8
  2016.042   54.4
  2016.124   52.5
  2016.206   50.4
  2016.288   47.8
  2016.373   44.8
  2016.455   41.5
  2016.540   38.5
  2016.624   36.0
  2016.706   33.2
  2016.791   31.4
  2016.873   29.9
----------------------------
