Monthly Mean Sunspot Numbers
Royal Observtory of Belsium
SILSO version 2
----------------------------
  year       ssn
  1988.042   70.5
  1988.124   45.4
  1988.206   91.2
  1988.290  108.8
  1988.373   74.2
  1988.456  124.3
  1988.540  131.4
  1988.624  139.4
  1988.708  142.7
  1988.791  156.5
  1988.874  156.8
  1988.958  231.2
  1989.042  210.1
  1989.123  208.7
  1989.204  170.4
  1989.288  166.3
  1989.371  195.4
  1989.455  284.5
  1989.538  180.5
  1989.623  232.0
  1989.707  225.1
  1989.790  212.2
  1989.874  238.2
  1989.958  211.4
  1990.042  227.4
  1990.123  171.8
  1990.204  191.7
  1990.288  189.7
  1990.371  175.2
  1990.455  153.3
  1990.538  191.1
  1990.623  252.1
  1990.707  169.1
  1990.790  199.4
  1990.874  178.8
  1990.958  197.1
  1991.042  195.3
  1991.123  240.3
  1991.204  197.0
  1991.288  197.6
  1991.371  166.9
  1991.455  224.7
  1991.538  240.2
  1991.623  240.8
  1991.707  168.9
  1991.790  197.1
  1991.874  159.5
  1991.958  212.6
  1992.042  198.3
  1992.124  230.7
  1992.206  151.0
  1992.290  142.2
  1992.373   94.3
  1992.456   98.5
  1992.540  114.2
  1992.624   91.9
  1992.708   94.0
  1992.791  133.4
  1992.874  129.6
  1992.958  122.0
  1993.042   81.4
  1993.123  127.8
  1993.204  102.4
  1993.288   94.4
  1993.371   78.8
  1993.455   69.6
  1993.538   80.4
  1993.623   62.5
  1993.707   31.2
  1993.790   71.1
  1993.874   48.2
  1993.958   68.4
  1994.042   84.9
  1994.123   54.9
  1994.204   47.5
  1994.288   27.4
  1994.371   29.8
  1994.455   39.7
  1994.538   50.6
  1994.623   34.3
  1994.707   40.5
  1994.790   67.1
  1994.874   29.5
  1994.958   32.2
  1995.042   32.6
  1995.123   45.8
  1995.204   46.3
  1995.288   21.6
  1995.371   19.4
  1995.455   22.5
  1995.538   20.4
  1995.623   18.2
  1995.707   15.7
  1995.790   30.6
  1995.874   14.0
  1995.958   14.9
  1996.042   13.3
  1996.124    7.7
  1996.206   12.6
  1996.290    6.8
  1996.373    7.6
  1996.456   16.5
  1996.540   11.8
  1996.624   19.7
  1996.708    3.0
  1996.791    0.7
  1996.874   24.9
  1996.958   14.0
  1997.042    7.4
  1997.123   11.0
  1997.204   12.1
  1997.288   23.0
  1997.371   25.4
  1997.455   20.8
  1997.538   12.9
  1997.623   35.7
  1997.707   59.7
  1997.790   32.8
  1997.874   50.4
  1997.958   55.5
  1998.042   44.5
  1998.123   50.2
  1998.204   82.0
  1998.288   70.6
  1998.371   74.0
  1998.455   90.5
  1998.538   96.7
  1998.623  121.1
  1998.707  132.0
  1998.790   78.5
  1998.874   97.3
  1998.958  119.2
  1999.042   86.0
  1999.123   98.0
  1999.204  103.5
  1999.288   93.6
  1999.371  149.6
  1999.455  207.2
  1999.538  173.5
  1999.623  142.3
  1999.707  106.3
  1999.790  168.7
  1999.874  188.3
  1999.958  116.8
  2000.042  133.1
  2000.124  165.7
  2000.206  217.7
  2000.290  191.5
  2000.373  165.9
  2000.456  188.0
  2000.540  244.3
  2000.624  180.5
  2000.708  156.0
  2000.791  141.6
  2000.874  158.1
  2000.958  143.3
  2001.042  142.6
  2001.123  121.5
  2001.204  165.8
  2001.288  161.7
  2001.371  142.1
  2001.455  202.9
  2001.538  123.0
  2001.623  161.5
  2001.707  238.2
  2001.790  194.1
  2001.874  176.6
  2001.958  213.4
  2002.042  184.6
  2002.123  170.2
  2002.204  147.1
  2002.288  186.9
  2002.371  187.5
  2002.455  128.8
  2002.538  161.0
  2002.623  175.6
  2002.707  187.9
  2002.790  151.2
  2002.874  147.2
  2002.958  135.3
  2003.042  133.5
  2003.123   75.7
  2003.204  100.7
  2003.288   97.9
  2003.371   86.8
  2003.455  118.7
  2003.538  128.3
  2003.623  115.4
  2003.707   78.5
  2003.790   97.8
  2003.874   82.9
  2003.958   72.2
  2004.042   60.6
  2004.124   74.6
  2004.206   74.8
  2004.290   59.2
  2004.373   72.8
  2004.456   66.5
  2004.540   83.8
  2004.624   69.7
  2004.708   48.8
  2004.791   74.2
  2004.874   70.1
  2004.958   28.9
  2005.042   48.1
  2005.123   43.5
  2005.204   39.6
  2005.288   38.7
  2005.371   61.9
  2005.455   56.8
  2005.538   62.4
  2005.623   60.5
  2005.707   37.2
  2005.790   13.2
  2005.874   27.5
  2005.958   59.3
  2006.042   20.9
  2006.123    5.7
  2006.204   17.3
  2006.288   50.3
  2006.371   37.2
  2006.455   24.5
  2006.538   22.2
  2006.623   20.8
  2006.707   23.7
  2006.790   14.9
  2006.874   35.7
  2006.958   22.3
  2007.042   29.3
  2007.123   18.4
  2007.204    7.2
  2007.288    5.4
  2007.371   19.5
  2007.455   21.3
  2007.538   15.1
  2007.623    9.8
  2007.707    4.0
  2007.790    1.5
  2007.874    2.8
  2007.958   17.3
  2008.042    4.1
  2008.124    2.9
  2008.206   15.5
  2008.290    3.6
  2008.373    4.6
  2008.456    5.2
  2008.540    0.6
  2008.624    0.3
  2008.708    1.2
  2008.791    4.2
  2008.874    6.6
  2008.958    1.0
  2009.042    1.3
  2009.123    1.2
  2009.204    0.6
  2009.288    1.2
  2009.371    2.9
  2009.455    6.3
  2009.538    5.5
  2009.623    0.0
  2009.707    7.1
  2009.790    7.7
  2009.874    6.9
  2009.958   16.3
  2010.042   19.5
  2010.123   28.5
  2010.204   24.0
  2010.288   10.4
  2010.371   13.9
  2010.455   18.8
  2010.538   25.2
  2010.623   29.6
  2010.707   36.4
  2010.790   33.6
  2010.874   34.4
  2010.958   24.5
  2011.042   27.3
  2011.123   48.3
  2011.204   78.6
  2011.288   76.1
  2011.371   58.2
  2011.455   56.1
  2011.538   64.5
  2011.623   65.8
  2011.707  120.1
  2011.790  125.7
  2011.874  139.1
  2011.958  109.3
  2012.042   94.4
  2012.124   47.8
  2012.206   86.6
  2012.290   85.9
  2012.373   96.5
  2012.456   92.0
  2012.540  100.1
  2012.624   94.8
  2012.708   93.7
  2012.791   76.5
  2012.874   87.6
  2012.958   56.8
  2013.042   96.1
  2013.123   60.9
  2013.204   78.3
  2013.288  107.3
  2013.371  120.2
  2013.455   76.7
  2013.538   86.2
  2013.623   91.8
  2013.707   54.5
  2013.790  114.4
  2013.874  113.9
  2013.958  124.2
  2014.042  117.0
  2014.123  146.1
  2014.204  128.7
  2014.288  112.5
  2014.371  112.5
  2014.455  102.9
  2014.538  100.2
  2014.623  106.9
  2014.707  130.0
  2014.790   90.0
  2014.874  103.6
  2014.958  112.9
  2015.042   93.0
  2015.123   66.7
  2015.204   54.5
  2015.286   75.3
  2015.371   88.8
  2015.453   66.5
  2015.538   65.8
  2015.623   64.4
  2015.707   78.6
  2015.790   63.6
  2015.874   62.2
  2015.958   58.0
  2016.042   57.0
  2016.124   56.4
  2016.206   54.1
  2016.290   37.9
  2016.373   51.5
  2016.455   20.5
  2016.540   32.4
  2016.624   50.2
  2016.706   44.6
  2016.791   33.4
  2016.873   21.4
  2016.958   18.5
  2017.042   25.8
  2017.122   26.1
  2017.204   17.7
  2017.286   32.6
  2017.371   18.8
---------------------------
